Try,Q1,Q2,Q3,Q4,Q5,Q6
TRY 1,1.269,13.068,0.505,1.671,0.751,0.378
TRY 2,1.091,10.653,0.4,1.616,1.235,0.539
TRY 3,1.12,10.711,0.599,1.743,0.936,0.38
TRY 4,1.219,10.722,0.504,1.613,1.286,0.37
TRY 5,1.102,10.694,0.483,1.648,0.738,0.384
